,Ticker,Number of Holdings,Percentage of Assets in Top 10,Beta,Issuer,ESG Score,Annual Dividend Rate in $,Annual Dividend Yield %,Expense Ratio,Inception,Index Tracked,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),AUM in Millions $,Shares in Millions,Num of sectors,Sector (General),Sector (Specific)
1202,PBEE,891.0,34.35,0.75,Invesco,4.53,0.51,1.71,0.0016,9/22/2017,FTSE Emerging Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,6.0,0.2,22,,
1203,QWLD,1199.0,13.92,0.84,State Street SPDR,6.25,1.63,1.74,0.003,6/4/2014,MSCI World Quality Mix Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,46.9,0.5,22,,
1205,PFI,57.0,33.42,1.03,Invesco,5.25,0.67,1.41,0.006,10/12/2006,Dynamic Financial Intellidex Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,45.7,1.0,3,Financials,Broad
1207,GRID,65.0,60.58,1.22,First Trust,8.6,0.55,0.66,0.006999999999999999,11/16/2009,NASDAQ OMX Clean Edge Smart Grid Infrastructure Index,Alternative Energy Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,250.9,3.0,10,Materials,Electric Energy Infrastructure
1208,SOXX,32.0,61.39,1.23,iShares,5.54,3.07,0.77,0.0046,7/10/2001,PHLX Semiconductor Sector Index,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,5873.6,14.8,4,Technology,Semiconductors
1209,DUSL,78.0,54.08,3.63,Direxion,6.28,0.14,0.42,0.0101,5/3/2017,Utilities Select Sector Index (300%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,46.7,1.4,0,Industrials,Broad
1210,XLSR,8.0,100.0,0.97,State Street SPDR,4.63,0.5,1.27,0.006999999999999999,4/2/2019,NONE,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,119.9,3.0,2,,
1211,CEZ,490.0,5.32,0.86,Victory Capital,5.0,0.5,1.79,0.005,3/23/2016,CEMP Emerging Market 500 Volatility Weighted Index ,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,9.7,0.4,20,,
1212,EWU,91.0,43.07,0.92,iShares,8.47,0.73,2.35,0.0051,3/12/1996,MSCI United Kingdom Index,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,3217.3,104.2,18,,
1213,EFAD,72.0,15.99,0.81,ProShares,7.13,0.65,1.56,0.0051,8/19/2014,MSCI EAFE Dividend Masters Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,125.9,3.0,18,,
1215,IUS,550.0,20.5,1.0,Invesco,4.74,0.54,1.58,0.0019,9/12/2018,Invesco Strategic US Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,163.7,4.8,20,,
1216,EWQ,75.0,50.18,1.01,iShares,6.58,0.34,1.01,0.0051,3/12/1996,MSCI France Index,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,757.5,22.4,20,,
1218,IDV,95.0,35.61,0.96,iShares,7.9,1.61,5.17,0.0049,6/15/2007,Dow Jones EPAC Select Dividend Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,4011.4,128.8,17,,
1219,QGRO,195.0,22.35,1.06,American Century Investments,5.89,0.17,0.28,0.0029,9/10/2018,iSTOXX American Century USA Quality Growth Index.,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,225.6,3.7,18,,
1220,RWX,144.0,27.38,0.84,State Street SPDR,5.39,1.0,2.96,0.0059,12/15/2006,Dow Jones Global ex-U.S. Real Estate Securities Index,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,890.3,26.4,3,Real Estate,Broad
1222,JKI,169.0,13.98,1.18,iShares,6.16,4.08,2.28,0.003,6/28/2004,Morningstar Mid Value Index,Mid Cap Value Equities,Equity,Mid-Cap,Value,North America,U.S.,430.5,2.4,21,,
1223,OSCV,86.0,18.02,1.09,Opus Capital Management,4.63,0.31,1.01,0.0079,7/18/2018,NONE,Small Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,94.9,3.1,20,,
1224,ERX,27.0,100.39,4.31,Direxion,5.41,0.34,1.23,0.0106,4/1/2020,Energy Select Sector Index (300%),Leveraged Equities,Equity,Large-Cap,Value,North America,U.S.,721.4,26.4,0,Energy,Oil & Gas Exploration & Production
1225,VYMI,1090.0,15.9,0.89,Vanguard,7.09,1.96,3.02,0.0027,2/25/2016,FTSE All-World ex US High Dividend Yield Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,2118.3,32.8,21,,
1226,JKE,51.0,39.06,1.01,iShares,5.03,0.8,0.29,0.0025,6/28/2004,Morningstar Large Growth Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,1730.0,6.2,13,,
1227,EPHE,40.0,60.93,0.67,iShares,3.88,0.23,0.76,0.0059,9/28/2010,MSCI Philippines Investable Market Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,Philippines,148.6,4.8,13,,
1228,GREK,30.0,64.7,1.33,Global X,7.13,0.67,2.6,0.0057,12/7/2011,FTSE/Athex 20 Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Developed Europe,Greece,149.1,5.8,11,Financials,Broad
1229,VGK,1286.0,15.65,0.94,Vanguard,7.74,1.65,2.68,0.0008,3/10/2005,FTSE Developed Europe Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,14973.1,243.0,22,,
1230,JPME,392.0,5.24,1.08,J.P. Morgan,5.5,1.13,1.42,0.0024,5/11/2016,Russell Midcap Diversified Factor Index,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,254.8,3.2,21,,
1231,JKK,230.0,10.44,1.15,iShares,3.71,0.31,0.1,0.003,7/7/2004,Morningstar Small Growth Index,Small Cap Growth Equities,Equity,Small-Cap,Growth,North America,U.S.,791.4,2.7,19,,
1233,GXTG,8.0,99.99,1.3,Global X,4.52,0.21,0.46,0.005,10/25/2019,Solactive Thematic Growth Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,90.4,1.9,1,,
1235,SPXV,442.0,30.06,0.96,ProShares,5.27,1.14,1.41,0.0027,9/22/2015,S&P 500 Ex-Health Care Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,2.0,0.0,19,,
1237,XMHQ,80.0,25.78,1.05,Invesco,5.82,0.75,1.02,0.0025,12/1/2006,S&P MidCap 400 Index,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,179.4,2.5,16,,
1238,DURA,54.0,46.94,0.83,VanEck,6.04,1.0,3.49,0.0029,10/30/2018,Morningstar US Dividend Valuation Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,41.5,1.5,13,,
1240,ESGV,1463.0,26.9,1.02,Vanguard,5.12,0.78,1.09,0.0012,9/20/2018,FTSE US All Cap Choice Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,3554.4,49.8,21,,
1241,HAP,340.0,34.08,1.07,VanEck,6.43,0.94,2.13,0.005,8/29/2008,Van Eck Hard Assets Producers Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,59.9,1.4,16,Materials,Hard Assets Producers
1243,DMXF,534.0,15.66,-0.97,iShares,8.15,0.2,0.31,0.0012,6/16/2020,MSCI EAFE Choice ESG Screened Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,94.0,1.5,20,,
1246,ACWX,1837.0,13.99,0.85,iShares,6.62,1.0,1.84,0.0032,3/26/2008,MSCI All Country World ex-U.S. Index ,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,3690.1,68.0,22,,
1248,JPEM,476.0,14.17,0.88,J.P. Morgan,4.18,1.56,2.77,0.0044,1/7/2015,FTSE Emerging Diversified Factor Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,247.9,4.4,21,,
1249,XSW,179.0,9.97,1.18,State Street SPDR,4.48,0.4,0.26,0.0035,9/28/2011,S&P Software & Services Select Industry Index,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,481.7,3.1,7,Technology,Software
1250,BBJP,355.0,21.45,0.68,J.P. Morgan,6.29,0.31,1.11,0.0019,6/15/2018,Morningstar Japan Target Market Exposure Index,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,8107.7,287.2,19,,
1251,TPIF,387.0,4.61,0.92,"Timothy Partners, Ltd",7.42,0.48,1.77,0.0062,12/2/2019,Victory U.S. Large Cap Volatility Weighted BRI Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,71.1,2.7,21,,
1252,SCHM,510.0,5.26,1.2,Charles Schwab,5.05,0.89,1.23,0.0004,1/13/2011,Dow Jones U.S. Mid-Cap Total Stock Market Index,Mid Cap Growth Equities,Equity,Mid-Cap,Blend,North America,U.S.,8623.7,118.8,20,,
1253,VTHR,2989.0,23.08,1.03,Vanguard,5.09,2.39,1.33,0.001,9/22/2010,Russell 3000 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,923.3,5.2,21,,
1255,HDEF,117.0,39.51,0.79,DWS,7.65,0.91,3.89,0.002,8/12/2015,MSCI EAFE High Dividend Yield US Dollar Hedged Index,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,EAFE,601.1,25.7,19,,
1256,VBR,919.0,5.67,1.27,Vanguard,4.54,2.39,1.47,0.0007,1/30/2004,MSCI US Small Cap Value Index,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,21917.7,135.0,21,,
1257,SUSA,224.0,22.88,0.98,iShares,6.48,1.39,1.66,0.0025,1/24/2005,MSCI USA ESG Select Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,2820.8,33.5,21,,
1261,DHS,319.0,44.66,0.9,WisdomTree,5.56,2.58,3.54,0.0038,6/16/2006,WisdomTree Equity Income Index,Large Cap Value Equities,Equity,Large-Cap,Blend,North America,U.S.,751.2,10.3,20,,
1262,NUDM,318.0,18.34,0.89,Nuveen,8.38,0.43,1.47,0.004,6/6/2017,TIAA ESG International Developed Markets Equity Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,87.8,3.0,20,,
1263,SDS,17.0,86.82,-1.68,ProShares,6.1,0.11,0.98,0.0091,7/11/2006,S&P 500 Index (-200%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,690.7,59.6,0,,
1264,BFOR,400.0,5.03,1.18,ALPS,5.26,0.49,0.9,0.0065,6/3/2013,Barron's 400,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,132.7,2.5,22,,
1265,JHMT,145.0,30.66,1.13,John Hancock,5.79,0.72,0.92,0.004,9/28/2015,John Hancock Dimensional Technology Index,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,51.1,0.7,6,Technology,Broad
1267,MILN,82.0,32.82,1.18,Global X,4.06,0.08,0.2,0.005,5/4/2016,Indxx Millennials Thematic Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,149.9,3.8,9,,
1268,SIL,43.0,75.85,0.9,Global X,4.73,0.87,2.17,0.0066,4/19/2010,Solactive Global Silver Miners Index,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,1170.1,29.0,3,Materials,Silver Miners
1269,EWT,88.0,43.89,0.77,iShares,7.51,0.97,1.68,0.0059,6/20/2000,MSCI Taiwan Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Taiwan,6476.5,112.0,15,,
1270,SPMV,95.0,25.09,0.88,Invesco,6.53,0.58,1.73,0.001,7/12/2017,S&P 500 Minimum Volatility Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,21.7,0.7,15,,
1271,CHIM,66.0,50.01,0.92,Global X,0.3,0.38,1.56,0.0066,1/12/2010,Solactive China Materials Index,China Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,4.9,0.2,6,Materials,Broad
1272,SSO,506.0,33.54,2.06,ProShares,5.38,0.28,0.3,0.0091,6/21/2006,S&P 500 Index (200%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,3037.4,31.8,0,,
1273,MDYG,229.0,12.79,1.11,State Street SPDR,5.05,0.49,0.68,0.0015,11/15/2005,S&P MidCap 400 Growth Index,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,1965.8,27.3,20,,
1274,XSHQ,121.0,19.04,1.04,Invesco,4.28,0.4,1.09,0.0029,4/6/2017, S&P SmallCap 600 Quality Index,Small Cap Growth Equities,Equity,Micro-Cap,Blend,North America,U.S.,40.4,1.1,17,,
1275,TECL,79.0,69.02,3.48,Direxion,5.62,0.38,1.0,0.0108,12/17/2008,Technology Select Sector Index (300%),Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,1710.7,44.8,0,Technology,Broad
1276,EUDV,45.0,24.68,0.88,ProShares,7.59,0.59,1.32,0.0056,9/9/2015,MSCI Europe Dividend Masters Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,8.3,0.2,15,,
1277,IJJ,309.0,7.99,1.29,iShares,4.62,2.33,2.36,0.0018,7/24/2000,S&P MidCap 400/Citigroup Value Index,Mid Cap Value Equities,Equity,Mid-Cap,Value,North America,U.S.,7683.9,77.9,21,,
1278,RNSC,366.0,13.91,1.25,First Trust,4.25,0.32,1.11,0.006,6/20/2017,Nasdaq Riskalyze Small Cap US Equity Select Index,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,9.8,0.4,20,,
1279,EMLP,52.0,51.91,0.86,First Trust,6.64,0.99,4.45,0.0096,6/20/2012,NONE,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,1788.8,80.9,5,Energy,MLP
1280,FLIY,35.0,67.25,1.14,Franklin Templeton Investments,7.41,0.58,2.24,0.0009,11/2/2017,FTSE Italy Capped Index,Europe Equities,Equity,Large-Cap,Value,North America,U.S.,3.8,0.2,13,,
1282,DXJS,715.0,6.79,0.73,WisdomTree,4.08,1.21,2.82,0.0058,6/28/2013,WisdomTree Japan Hedged SmallCap Equity Index,Japan Equities,Equity,Mid-Cap,Blend,Developed Asia Pacific,Japan,29.8,0.7,21,,
1283,WBIL,31.0,45.42,0.53,WBI Shares,6.84,0.05,0.18,0.0123,8/25/2014,NONE,Global Equities,Equity,Multi-Cap,Blend,Global,Broad,44.1,1.6,15,Consumer Staples,Broad
1284,IEFA,2644.0,9.72,0.87,iShares,7.29,1.31,1.88,0.0007,10/18/2012,MSCI EAFE Investable Market Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,84748.7,1211.4,22,,
1286,DVY,102.0,22.56,0.95,iShares,6.75,3.52,3.12,0.0039,11/3/2003,Dow Jones U.S. Select Dividend Index,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,16665.9,151.1,18,,
1287,STSB,854.0,6.57,1.46,iShares,4.06,0.44,0.95,0.0035,4/14/2020,Russell US Small Cap Factors Blend Style Index,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,6.9,0.2,21,,
1288,OUSA,101.0,38.07,0.86,O'Shares,5.42,0.74,1.94,0.0048,7/14/2015,FTSE US Qual / Vol / Yield Factor 5% Capped Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,601.5,15.9,16,,
1289,GMF,1384.0,31.16,0.75,State Street SPDR,4.64,1.68,1.25,0.0049,3/23/2007,S&P Asia Pacific Emerging BMI Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,Broad,805.4,6.0,21,,
1290,FPXE,101.0,40.13,0.81,First Trust,5.8,0.39,1.45,0.006999999999999999,10/4/2018,IPOX 100 Europe Index,Europe Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,5.5,0.2,19,,
1291,MIDF,90.0,16.72,1.17,iShares,6.29,0.39,1.17,0.0025,6/4/2019,MSCI USA Mid Cap Diversified Multiple-Factor Index,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,3.4,0.1,19,,
1292,DGRE,280.0,22.01,0.85,WisdomTree,5.1,0.6,2.02,0.0032,8/1/2013,NONE,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,94.6,3.2,21,,
1293,NXTG,97.0,17.71,0.85,First Trust,6.14,0.72,1.03,0.006999999999999999,2/17/2011,Indxx 5G & NextG Thematic Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,934.4,13.4,7,Telecom,Broad
1294,FDTS,400.0,7.03,1.16,First Trust,3.39,0.86,1.97,0.008,2/15/2012,Defined Developed Markets Ex-US Small Cap Index,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,8.8,0.2,20,,
1295,EQWL,103.0,12.57,1.01,Invesco,5.83,1.38,1.9,0.0025,12/1/2006,Russell Top 200 Equal Weight Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,75.3,1.0,17,,
1296,AUSF,192.0,17.05,1.11,Global X,5.56,0.72,2.59,0.0027,8/28/2018,Solactive Adaptive Wealth Strategies U.S. Factor Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,159.0,5.8,20,,
1297,UYM,36.0,74.16,2.4,ProShares,7.09,0.41,0.51,0.0095,1/30/2007,Dow Jones U.S. Basic Materials Index (200%),Leveraged Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,49.6,0.6,0,Materials,Broad
1299,ADRE,49.0,67.79,0.94,Invesco,5.25,0.53,0.91,0.003,11/13/2002,Bank of New York Mellon Emerging Markets 50 ADR Index,Asia Pacific Equities,Equity,Mega-Cap,Blend,Emerging Markets,Broad,232.5,4.0,15,,
1300,EEMV,302.0,13.69,0.64,iShares,4.74,1.49,2.38,0.0025,10/18/2011,MSCI Emerging Markets Minimum Volatility Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,4143.4,66.1,22,,
1301,ERSX,52.0,33.51,1.15,EntrepreneurShares,5.08,0.12,0.48,0.0075,12/28/2018,Entrepreneur Non-US Small Cap Index,Small Cap Blend Equities,Equity,Small-Cap,Blend,Developed Markets,Broad,45.5,1.9,15,,
1302,RGI,75.0,16.32,1.23,Invesco,7.01,1.51,0.91,0.004,11/7/2006,S&P Equal Weight Index Industrials,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,401.4,2.4,12,Industrials,Broad
1303,GENY,111.0,23.52,1.1,Principal Financial Group,4.14,0.41,0.66,0.0045,8/19/2016,NASDAQ Global Millennial Opportunity Index,Large Cap Growth Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,77.0,1.3,13,,
1304,RFAP,100.0,22.28,0.83,First Trust,7.39,0.94,1.65,0.0083,4/13/2016,NONE,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Broad,8.5,0.2,20,,
1305,BICK,88.0,24.52,1.06,First Trust,3.86,0.16,0.41,0.0064,4/12/2010,ISE BICK Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,BICK,88.5,2.3,18,,
1308,PBD,105.0,13.32,1.3,Invesco,6.53,0.17,0.55,0.0075,6/13/2007,WilderHill New Energy Global Innovation index,Alternative Energy Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,398.5,13.0,12,Energy,Clean Energy
1309,DWAS,201.0,14.04,1.25,Invesco,3.73,0.16,0.19,0.006,7/19/2012,Dorsey Wright SmallCap Technical Leaders Index,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,487.6,5.9,18,,
1310,WFH,42.0,34.89,1.54,Direxion,4.86,0.58,0.86,0.0045,6/25/2020,Solactive Remote Work Index,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,135.1,2.0,5,Technology,Broad
1311,AIRR,57.0,31.61,1.32,First Trust,5.02,0.04,0.09,0.006999999999999999,3/10/2014,Richard Bernstein Advisors American Industrial Renaissance Index,Building & Construction ,Equity,Multi-Cap,Blend,North America,U.S.,116.5,3.0,6,Industrials,Broad
1312,RECS,375.0,32.62,1.05,Columbia Threadneedle Investments,4.7,0.27,1.05,0.0015,9/25/2019,Beta Advantage Research Enhanced U.S. Equity Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,93.7,3.7,20,,
1313,FRDM,102.0,39.27,1.17,Alpha Architect,6.95,0.35,1.09,0.0049,5/23/2019,Life + Liberty Freedom 100 Emerging Markets Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Global,Broad,41.5,1.3,21,,
1314,NANR,31.0,63.91,1.29,State Street SPDR,6.12,0.9,2.3,0.0035,12/15/2015,S&P BMI North American Natural Resources Index,Commodity Producers Equities,Equity,Large-Cap,Blend,North America,Broad,493.0,12.6,5,Materials,Natural Resources
1315,FXU,41.0,41.25,0.48,First Trust,6.15,1.13,4.04,0.0062,5/8/2007,StrataQuant Utilities Index,Utilities Equities,Equity,Mid-Cap,Value,North America,U.S.,164.6,5.9,4,Utilities,Broad
1316,DIG,34.0,80.96,3.44,ProShares,5.19,2.32,1.68,0.0095,1/30/2007,Dow Jones U.S. Oil & Gas Index (200%),Leveraged Equities,Equity,Multi-Cap,Value,North America,U.S.,228.4,1.7,0,Energy,Oil & Gas Exploration & Production
1317,AIEQ,162.0,29.63,1.21,ETF Managers Group,4.24,0.14,0.37,0.0087,10/18/2017,NONE,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,150.4,4.0,18,,
1318,DDLS,823.0,9.01,0.85,WisdomTree,5.97,0.97,3.0,0.0048,1/7/2016,WisdomTree Dynamic Currency Hedged International SmallCap Equity Index,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,38.7,1.2,21,,
1319,PDN,1476.0,2.87,0.97,Invesco,5.34,0.62,1.73,0.0049,9/27/2007,FTSE RAFI Developed Markets ex-U.S. Mid-Small 1500 Index,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Global ex-U.S.,Broad,376.8,10.6,22,,
1320,DBAW,1917.0,14.9,0.75,DWS,6.61,0.63,2.0,0.0041,1/23/2014,MSCI ACWI ex USA US Dollar Hedged Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,110.5,3.5,22,,
1321,AESR,9.0,100.0,0.93,Regents Park Funds,4.86,0.13,1.04,0.0146,12/17/2019,NONE,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,71.0,5.9,1,,
1322,XLV,64.0,50.77,0.76,State Street SPDR,5.37,1.69,1.49,0.0012,12/16/1998,Health Care Select Sector Index,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,23919.9,211.7,6,Healthcare,Broad
1323,PPA,55.0,52.1,1.16,Invesco,6.73,0.6,0.87,0.0059,10/26/2005,SPADE Defense Index,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,678.9,9.9,9,Industrials,Broad
1324,DWX,101.0,19.48,0.73,State Street SPDR,7.55,1.4,3.83,0.0045,2/12/2008,S&P International Dividend Opportunities Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,603.8,16.5,19,,
1325,ROAM,325.0,12.74,0.81,Hartford Funds,4.68,0.7,2.92,0.0044,2/25/2015,Hartford Risk-Optimized Multifactor Emerging Markets Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,40.6,1.7,21,,
1326,CACG,76.0,37.76,0.99,Legg Mason,4.97,0.21,0.48,0.0054,5/3/2017,NONE,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,211.2,4.7,15,,
1328,SOXL,35.0,64.45,3.99,Direxion,5.63,0.18,0.54,0.0096,3/11/2010,PHLX Semiconductor Index (300%),Leveraged Equities,Equity,Large-Cap,Growth,Developed Markets,Broad,3474.0,106.3,0,Technology,Semiconductors
1330,EDOW,31.0,38.17,0.94,First Trust,5.88,0.5,1.76,0.005,8/8/2017,Dow Jones Industrial Average Equal Weight Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,60.9,2.1,13,,
1331,XITK,101.0,14.08,1.18,State Street SPDR,2.92,0.13,0.06,0.0045,1/13/2016,FactSet Innovative Technology Index,All Cap Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,405.2,1.9,8,Technology,Broad
1332,FGD,94.0,17.76,1.05,First Trust,7.22,1.35,5.48,0.0059,11/21/2007,Dow Jones Global Select Dividend Index,Global Equities,Equity,Multi-Cap,Value,Developed Markets,Broad,432.5,17.5,15,,
1333,FXL,105.0,19.11,1.21,First Trust,4.87,0.05,0.04,0.0061,5/8/2007,StrataQuant Technology Index,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,2398.1,22.0,7,Technology,Broad
1334,JHMI,154.0,19.71,1.21,John Hancock,6.69,0.43,0.92,0.004,3/28/2016,John Hancock Dimensional Industrials Index,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,46.9,1.0,16,Industrials,Broad
1335,FTXR,31.0,60.82,1.43,First Trust,5.5,0.09,0.29,0.006,9/21/2016,Nasdaq U.S. Smart Transportation Index,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,968.0,31.4,5,Industrials,Transportation
1336,EWUS,257.0,12.31,1.24,iShares,7.87,0.83,1.89,0.0059,1/25/2012,MSCI United Kingdom Small Cap Index,Europe Equities,Equity,Mid-Cap,Value,Developed Europe,Broad,96.8,2.2,21,,
1337,RUSL,4.0,100.0,3.2,Direxion,4.6,0.12,0.49,0.0123,4/1/2020,DAXglobal Russia Index (300%),Leveraged Equities,Equity,Large-Cap,Blend,Emerging Europe,Russia,64.6,2.7,0,,
1338,HIBL,103.0,38.42,4.94,Direxion,5.89,0.43,0.78,0.0112,11/7/2019,S&P 500 High Beta Index (300%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,94.7,1.7,0,,
1340,WBIG,31.0,45.34,0.53,WBI Shares,4.41,0.23,0.92,0.0114,8/25/2014,NONE,Global Equities,Equity,Multi-Cap,Blend,North America,U.S.,49.3,2.0,16,,
1342,MOTO,36.0,35.43,1.34,SmartETFs,5.96,1.02,2.37,0.0068,11/15/2019,NONE,Global Equities,Equity,Multi-Cap,Blend,Global ex-U.S.,Broad,14.0,0.3,8,Industrials,Transportation
1343,VAW,117.0,51.02,1.13,Vanguard,6.75,2.63,1.59,0.001,1/30/2004,MSCI US Investable Market Materials 25/50 Index,Materials,Equity,Multi-Cap,Blend,North America,U.S.,2717.9,16.5,8,Materials,Broad
1344,EWZ,55.0,56.84,1.17,iShares,3.18,0.63,1.92,0.0059,7/10/2000,MSCI Brazil 25/50 Index,Latin America Equities,Equity,Large-Cap,Blend,Latin America,Brazil,5829.5,176.4,15,,
1345,PSCU,23.0,63.14,0.68,Invesco,3.52,0.65,1.03,0.0029,4/7/2010,S&P SmallCap 600 Utilities Index ,Utilities Equities,Equity,Small-Cap,Blend,North America,U.S.,25.9,0.4,5,Utilities,Broad
1347,ISRA,119.0,49.79,1.05,VanEck,4.84,0.08,0.17,0.0062,6/25/2013,BlueStar Israel Global Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,74.0,1.7,19,Technology,Broad
1348,RZV,169.0,13.21,1.72,Invesco,3.98,0.42,0.48,0.0035,3/7/2006,S&P SmallCap 600/Citigroup Pure Value Index,Small Cap Value Equities,Equity,Micro-Cap,Value,North America,U.S.,258.5,3.0,18,,
