,Category,Fundamental Cluster,Risk Cluster,kmean_env_cluster,Kmean_Social_cluster,Kmean_Gov_cluster
XES,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
PSL,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
RYJ,Mid-Cap Growth,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
BFOR,Mid-Cap Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FYT,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
RZG,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
PWC,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
EIS,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
DIG,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
RXL,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
EWZS,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
DBEM,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
XSMO,Small Growth,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
IPKW,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PIN,India Equity,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
DBAW,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,,,
FCG,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
QAT,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,,,
JPXN,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DGRE,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FSZ,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
IDHQ,Foreign Large Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FGM,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
SOXS,Trading--Inverse Equity,Market Inverse ETF,Betting against the market ,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
CUT,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
ZJPN,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
QVAL,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
XSVM,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EWMC,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
MMTM,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
QABA,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
BICK,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DGT,World Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
XMHQ,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
RESP,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
LOWC,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
PYZ,Natural Resources,Mid Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
AADR,Foreign Large Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
BJK,Consumer Cyclical,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IVAL,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IEZ,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
ISRA,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
MIDU,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
FAB,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
SYLD,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
AIRR,Industrials,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EQWL,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
PBJ,Consumer Defensive,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
IQDE,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EWUS,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
GLIN,India Equity,High Fundamental Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
CSD,Mid-Cap Blend,Mid Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
GURU,Large Growth,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
RFV,Small Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
QSY,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
DEW,World Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
PEZ,Consumer Cyclical,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,,,
HEWG,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
SCJ,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IAK,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SLX,Natural Resources,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
GOEX,Equity Precious Metals,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
EIRL,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
FTHI,Option Writing,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
RYE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
PSCI,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
CARZ,Consumer Cyclical,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
IGN,Technology,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
CHIX,China Region,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EWO,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
XTL,Communications,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
BRF,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
PUI,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
PBS,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
AFK,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FILL,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
HAP,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
WBIG,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
PFI,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
GLCN,China Region,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
RETL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,High Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
XMVM,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
CSF,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
ARGT,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
KCE,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
ZCAN,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
DBLV,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
GXG,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
QWLD,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
PXQ,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
WBIL,Large Blend,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
NGE,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
CIZ,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
ENFR,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
UYM,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
UMDD,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
EUDG,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FJP,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EWK,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
WBIE,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
EWGS,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
KBWR,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
NORW,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
WBIF,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
IDX,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FNK,Small Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
VEGI,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
IPOS,Foreign Small/Mid Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
SPVM,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
EURL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
DAX,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PSCC,Consumer Defensive,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
ASEA,Pacific/Asia ex-Japan Stk,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
VLU,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
DXJS,Japan Stock,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IQDY,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DEEP,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
DVYA,Diversified Pacific/Asia,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EVX,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
DXGE,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EFNL,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
PSCF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
ALFA,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EWSC,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
ZDEU,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
CN,China Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
UCC,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
PSCE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FEUZ,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DDIV,Mid-Cap Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EDZ,Trading--Inverse Equity,Market Inverse ETF,Betting against the market ,,,
SAA,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
PSCD,Consumer Cyclical,Low Fundamentals Broad Market,High Risk - Double Market Volatile,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
GXF,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
SYG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FID,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FYLD,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
ICOL,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EINC,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
EDOG,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
GRES,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
ENOR,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
UXI,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
SPUU,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
PSCU,Utilities,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SYE,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
PXI,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FKU,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
SYV,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
NLR,Miscellaneous Sector,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
CHIC,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
FPA,Pacific/Asia ex-Japan Stk,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PGAL,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DBEZ,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PXE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EMFM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EMIF,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
QDYN,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EEMO,Diversified Emerging Mkts,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FLN,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
UAE,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DBGR,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
KFYP,China Region,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FCA,China Region,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
SMEZ,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
UPW,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
UGE,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
ZGBR,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FRAK,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
